ref_area,ref_area_name,counterpart,counterpart_name,time_period,year,quarter,var_code,metric,sex,gender,area_name,reg_name,province,imm_category,obs_value,obs_status,source_dataset
CAN,Canada,AFG,Afghanistan,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Southern Asia,,,16.0,,FALLBACK_XLSX
CAN,Canada,ALB,Albania,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Southern Europe,,,1.0,,FALLBACK_XLSX
CAN,Canada,DZA,Algeria,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Northern Africa,,,80.0,,FALLBACK_XLSX
CAN,Canada,ANG,Angola,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Middle Africa,,,1.0,,FALLBACK_XLSX
CAN,Canada,ARG,Argentina,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,South America,,,368.0,,FALLBACK_XLSX
CAN,Canada,AUS,Australia,1980,1980,,B11,Inflows of Foreign Population,T,Total,Oceania,Australia and New Zealand,,,702.0,,FALLBACK_XLSX
CAN,Canada,AUT,Austria,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Western Europe,,,234.0,,FALLBACK_XLSX
CAN,Canada,BAH,Bahamas,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,26.0,,FALLBACK_XLSX
CAN,Canada,BGD,Bangladesh,1980,1980,,B11,Inflows of Foreign Population,T,Total,Asia,Southern Asia,,,83.0,,FALLBACK_XLSX
CAN,Canada,BAR,Barbados,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Caribbean,,,372.0,,FALLBACK_XLSX
CAN,Canada,BEL,Belgium,1980,1980,,B11,Inflows of Foreign Population,T,Total,Europe,Western Europe,,,511.0,,FALLBACK_XLSX
CAN,Canada,BEL,Belize,1980,1980,,B11,Inflows of Foreign Population,T,Total,Latin America and the Caribbean,Central America,,,16.0,,FALLBACK_XLSX
CAN,Canada,BEN,Benin,1980,1980,,B11,Inflows of Foreign Population,T,Total,Africa,Western Africa,,,2.0,,FALLBACK_XLSX
