SOURCE_SYSTEM,CLAIM_ID,CONTRACT_SOURCE_SYSTEM,CONTRACT_ID,CLAIM_TYPE,DATE_OF_LOSS,AMOUNT,CREATION_DATE
Claim_SR_Asia_Pacific_1,CL_200001,Contract_SR_Asia_Pacific_1,20001001,2,2021-03-14,18250.50,2022-02-15 10:00
Claim_SR_Asia_Pacific_1,RX_200002,Contract_SR_Asia_Pacific_1,20001002,9,2021-07-22,95400.00,2022-02-15 10:05
Claim_SR_Asia_Pacific_1,DI_200003,Contract_SR_Asia_Pacific_1,20001003,1,2021-11-05,32100.75,2022-02-15 10:10
Claim_SR_Asia_Pacific_1,CL_200004,Contract_SR_Asia_Pacific_1,20001004,4,2021-08-18,67890.25,2022-02-15 10:15
Claim_SR_Asia_Pacific_1,RC_200005,Contract_SR_Asia_Pacific_1,20001005,3,2021-04-30,11200.00,2022-02-15 10:20
Claim_SR_Asia_Pacific_1,RI_200006,Contract_SR_Asia_Pacific_1,20001006,,2021-12-01,44500.80,2022-02-15 10:25
Claim_SR_Asia_Pacific_1,DI_200007,Contract_SR_Asia_Pacific_1,20001007,6,2021-09-09,28750.60,2022-02-15 10:30
Claim_SR_Asia_Pacific_1,RX_200008,Contract_SR_Asia_Pacific_1,20001008,8,2021-06-17,73300.40,2022-02-15 10:35
Claim_SR_Asia_Pacific_1,CL_200009,Contract_SR_Asia_Pacific_1,20001001,5,2021-02-28,51000.00,2022-02-15 10:40
Claim_SR_Asia_Pacific_1,RC_200010,Contract_SR_Asia_Pacific_1,20001002,7,2021-10-12,8900.90,2022-02-15 10:45
Claim_SR_Asia_Pacific_1,CX_200011,Contract_SR_Asia_Pacific_1,20001003,2,2021-05-21,39200.15,2022-02-15 10:50
Claim_SR_Asia_Pacific_1,RI_200012,Contract_SR_Asia_Pacific_1,20001004,10,2021-01-07,82600.30,2022-02-15 10:55
Claim_SR_Asia_Pacific_1,DI_200013,Contract_SR_Asia_Pacific_1,20001005,3,2021-07-04,16400.70,2022-02-15 11:00
Claim_SR_Asia_Pacific_1,CL_200014,Contract_SR_Asia_Pacific_1,20001006,9,2021-11-25,-320.00,2022-02-15 11:05
Claim_SR_Asia_Pacific_1,RX_200015,Contract_SR_Asia_Pacific_1,20001007,1,2021-03-30,58700.20,2022-02-15 11:10
