SOURCE_SYSTEM,CONTRACT_ID,CONTRACT_TYPE,INSURED_PERIOD_FROM,INSURED_PERIOD_TO,CREATION_DATE
Contract_SR_Europa_3,10000001,Direct,01.01.2020,31.12.2020,15.01.2022 10:00
Contract_SR_Europa_3,10000002,Reinsurance,15.03.2019,14.03.2024,15.01.2022 10:05
Contract_SR_Europa_3,10000003,Direct,01.06.2021,31.05.2022,16.01.2022 09:15
Contract_SR_Europa_3,10000004,,10.10.2018,09.10.2023,16.01.2022 11:30
Contract_SR_Europa_3,10000005,Reinsurance,01.01.2022,31.12.2022,17.01.2022 08:45
Contract_SR_Europa_3,10000006,Direct,20.02.2020,19.02.2021,17.01.2022 09:20
Contract_SR_Europa_3,10000007,,05.05.2019,04.05.2024,18.01.2022 14:10
Contract_SR_Europa_3,10000008,Reinsurance,01.09.2021,31.08.2022,18.01.2022 15:30
Contract_SR_Europa_3,10000009,Direct,12.12.2018,11.12.2023,19.01.2022 11:45
Contract_SR_Europa_3,10000010,,03.03.2020,02.03.2021,19.01.2022 13:20
Contract_SR_Europa_3,10000011,Reinsurance,01.04.2022,31.03.2023,20.01.2022 10:00
Contract_SR_Europa_3,10000012,Direct,25.06.2019,24.06.2024,20.01.2022 10:30
Contract_SR_Europa_3,10000013,,14.07.2021,13.07.2022,20.01.2022 11:15
Contract_SR_Europa_3,10000014,Reinsurance,01.11.2020,31.10.2021,21.01.2022 09:45
Contract_SR_Europa_3,10000015,Direct,08.08.2018,07.08.2023,21.01.2022 10:20
Contract_SR_Europa_3,10000016,Direct,19.09.2019,18.09.2024,21.01.2022 14:30
Contract_SR_Europa_3,10000017,Reinsurance,30.10.2020,29.10.2021,22.01.2022 08:15
Contract_SR_Europa_3,10000018,,22.11.2021,21.11.2022,22.01.2022 09:45
Contract_SR_Europa_3,10000019,Direct,13.12.2018,12.12.2023,22.01.2022 13:30
Contract_SR_Europa_3,10000020,Reinsurance,04.01.2020,03.01.2025,23.01.2022 10:00
Contract_SR_Europa_3,10000021,Direct,15.02.2021,14.02.2022,23.01.2022 11:30
Contract_SR_Europa_3,10000022,,26.03.2019,25.03.2024,23.01.2022 15:45
