SOURCE_SYSTEM,CLAIM_ID,CONTRACT_SOURCE_SYSTEM,CONTRACT_ID,CLAIM_TYPE,DATE_OF_LOSS,AMOUNT,CREATION_DATE
Claim_SR_North_America_2,CL_300001,Contract_SR_North_America_2,30001001,2,03/14/2021,22500.50,02/15/2022 10:00
Claim_SR_North_America_2,RX_300002,Contract_SR_North_America_2,30001002,9,07/22/2021,110400.00,02/15/2022 10:05
Claim_SR_North_America_2,DI_300003,Contract_SR_North_America_2,30001003,1,11/05/2021,41100.75,02/15/2022 10:10
Claim_SR_North_America_2,CL_300004,Contract_SR_North_America_2,30001004,4,08/18/2021,79890.25,02/15/2022 10:15
Claim_SR_North_America_2,RC_300005,Contract_SR_North_America_2,30001005,3,04/30/2021,13200.00,02/15/2022 10:20
Claim_SR_North_America_2,RI_300006,Contract_SR_North_America_2,30001006,,12/01/2021,56500.80,02/15/2022 10:25
Claim_SR_North_America_2,DI_300007,Contract_SR_North_America_2,30001007,6,09/09/2021,34750.60,02/15/2022 10:30
Claim_SR_North_America_2,RX_300008,Contract_SR_North_America_2,30001008,8,06/17/2021,88300.40,02/15/2022 10:35
Claim_SR_North_America_2,CL_300009,Contract_SR_North_America_2,30001001,5,02/28/2021,63000.00,02/15/2022 10:40
Claim_SR_North_America_2,RC_300010,Contract_SR_North_America_2,30001002,7,10/12/2021,9900.90,02/15/2022 10:45
Claim_SR_North_America_2,CX_300011,Contract_SR_North_America_2,30001003,2,05/21/2021,47200.15,02/15/2022 10:50
Claim_SR_North_America_2,RI_300012,Contract_SR_North_America_2,30001004,10,01/07/2021,95600.30,02/15/2022 10:55
Claim_SR_North_America_2,DI_300013,Contract_SR_North_America_2,30001005,3,07/04/2021,19400.70,02/15/2022 11:00
Claim_SR_North_America_2,CL_300014,Contract_SR_North_America_2,30001006,9,11/25/2021,-450.00,02/15/2022 11:05
Claim_SR_North_America_2,RX_300015,Contract_SR_North_America_2,30001007,1,03/30/2021,71700.20,02/15/2022 11:10
