CONTRACT_SOURCE_SYSTEM,CONTRACT_SOURCE_SYSTEM_ID,SOURCE_SYSTEM_ID,TRANSACTION_TYPE,TRANSACTION_DIRECTION,CONFORMED_VALUE,BUSINESS_DATE,CREATION_DATE,SYSTEM_TIMESTAMP,NSE_ID,TRANSACTION_CATEGORY
North America 2,30001001,300001,Corporate,COINSURANCE,22500.50000,2021-03-14,2022-02-15T10:00:00.000Z,2026-04-07T10:33:15.087Z,a1a0d9cafebd4f0fb5644a1bbc7a4b5a,CHARGE
North America 2,30001002,300002,Reinsurance,REINSURANCE,110400.00000,2021-07-22,2022-02-15T10:05:00.000Z,2026-04-07T10:33:15.087Z,a47ccc997cec8b81250f01054d547432,CHARGE
North America 2,30001003,300003,Private,DIRECT,41100.75000,2021-11-05,2022-02-15T10:10:00.000Z,2026-04-07T10:33:15.087Z,d262689dd02116b6fe54f78627cd0301,CHARGE
North America 2,30001004,300004,Government,COINSURANCE,79890.25000,2021-08-18,2022-02-15T10:15:00.000Z,2026-04-07T10:33:15.087Z,e1399fdb03dca2b2727e85209e94f0f5,CHARGE
North America 2,30001005,300005,SME,RECOVERY,13200.00000,2021-04-30,2022-02-15T10:20:00.000Z,2026-04-07T10:33:15.087Z,82658c9196a35e7d2ac66e23eccfa9a3,CHARGE
North America 2,30001006,300006,Unknown,INWARD_REINSURANCE,56500.80000,2021-12-01,2022-02-15T10:25:00.000Z,2026-04-07T10:33:15.087Z,905060bb622d884db0165e4d08b1064c,CHARGE
North America 2,30001007,300007,GroupPolicy,DIRECT,34750.60000,2021-09-09,2022-02-15T10:30:00.000Z,2026-04-07T10:33:15.087Z,644a7324783b446a2723a3d3374bf8d1,CHARGE
North America 2,30001008,300008,PartnerNetwork,REINSURANCE,88300.40000,2021-06-17,2022-02-15T10:35:00.000Z,2026-04-07T10:33:15.087Z,08d06c12deee673cce19e8b6265190a7,CHARGE
North America 2,30001001,300009,NonProfit,COINSURANCE,63000.00000,2021-02-28,2022-02-15T10:40:00.000Z,2026-04-07T10:33:15.087Z,3f95bcbd3929a73da2159ab9d2f55aa4,CHARGE
North America 2,30001002,300010,BrokerSubmitted,RECOVERY,9900.90000,2021-10-12,2022-02-15T10:45:00.000Z,2026-04-07T10:33:15.087Z,c6935400b0d74b0257166523316ef134,CHARGE
North America 2,30001003,300011,Corporate,,47200.15000,2021-05-21,2022-02-15T10:50:00.000Z,2026-04-07T10:33:15.087Z,03f7a29d2b6a0f288daed4e012e81cc2,CHARGE
North America 2,30001004,300012,Internal,INWARD_REINSURANCE,95600.30000,2021-01-07,2022-02-15T10:55:00.000Z,2026-04-07T10:33:15.087Z,1d737556e05562c6ec6cdac03530a7cf,CHARGE
North America 2,30001005,300013,SME,DIRECT,19400.70000,2021-07-04,2022-02-15T11:00:00.000Z,2026-04-07T10:33:15.087Z,af1bc54699f90eb08e9ba0edda909bc6,CHARGE
North America 2,30001006,300014,Reinsurance,COINSURANCE,-450.00000,2021-11-25,2022-02-15T11:05:00.000Z,2026-04-07T10:33:15.087Z,042603b5545711cb6bfacd939ce91f3b,REFUND
North America 2,30001007,300015,Private,REINSURANCE,71700.20000,2021-03-30,2022-02-15T11:10:00.000Z,2026-04-07T10:33:15.087Z,af29ca625d2f4a5b2e8f30ac41b8f17e,CHARGE
